date,member,rideable,count,duration
2021-01-30,casual,classic_bike,162,184671.0
2021-01-30,casual,electric_bike,183,157314.0
2021-01-30,casual,docked_bike,48,113681.0
2021-01-15,member,electric_bike,1092,791387.0
2021-01-15,member,classic_bike,2239,1657870.0
2021-01-15,casual,classic_bike,343,454282.0
2021-01-15,casual,docked_bike,106,292825.0
2021-01-15,casual,electric_bike,367,307350.0
2021-01-10,casual,electric_bike,309,290212.0
2021-01-10,casual,classic_bike,447,539570.0
2021-01-10,casual,docked_bike,86,215203.0
2021-01-10,member,classic_bike,1663,1255259.0
2021-01-10,member,electric_bike,796,611462.0
2021-01-18,casual,electric_bike,258,250117.0
2021-01-18,casual,docked_bike,74,200287.0
2021-01-18,casual,classic_bike,288,372888.0
2021-01-18,member,classic_bike,2047,1488099.0
2021-01-18,member,electric_bike,931,599535.0
2021-01-11,casual,classic_bike,235,269147.0
2021-01-11,casual,electric_bike,255,237893.0
2021-01-11,casual,docked_bike,44,94425.0
2021-01-11,member,classic_bike,1983,1511107.0
2021-01-11,member,electric_bike,863,526389.0
2021-01-16,casual,electric_bike,348,354267.0
2021-01-16,casual,classic_bike,404,678353.0
2021-01-16,casual,docked_bike,103,343303.0
2021-01-16,member,classic_bike,1643,1535624.0
2021-01-16,member,electric_bike,803,622102.0
2021-01-28,member,classic_bike,1575,1166889.0
2021-01-28,member,electric_bike,698,458203.0
2021-01-28,casual,classic_bike,161,228997.0
2021-01-28,casual,docked_bike,32,41304.0
2021-01-28,casual,electric_bike,148,131404.0
2021-01-17,member,classic_bike,1275,1157783.0
2021-01-17,member,electric_bike,654,468277.0
2021-01-17,casual,classic_bike,250,319832.0
2021-01-17,casual,docked_bike,93,142503.0
2021-01-17,casual,electric_bike,273,245839.0
2021-01-25,member,electric_bike,868,534874.0
2021-01-25,member,classic_bike,1761,1693150.0
2021-01-25,casual,classic_bike,184,176536.0
2021-01-25,casual,docked_bike,36,94979.0
2021-01-25,casual,electric_bike,183,139876.0
2021-01-06,member,classic_bike,2221,1933179.0
2021-01-06,member,electric_bike,954,759062.0
2021-01-06,casual,classic_bike,313,531197.0
2021-01-06,casual,electric_bike,278,226028.0
2021-01-06,casual,docked_bike,114,252880.0
2021-01-03,member,electric_bike,525,371368.0
2021-01-03,member,classic_bike,1277,999480.0
2021-01-03,casual,classic_bike,291,443296.0
2021-01-03,casual,electric_bike,216,201692.0
2021-01-03,casual,docked_bike,73,145506.0
2021-01-08,member,electric_bike,1075,835665.0
2021-01-08,member,classic_bike,2106,1607270.0
2021-01-08,casual,classic_bike,275,310159.0
2021-01-08,casual,electric_bike,340,260917.0
2021-01-08,casual,docked_bike,71,276653.0
2021-01-29,casual,electric_bike,256,216505.0
2021-01-29,casual,docked_bike,55,99884.0
